DateTime,usage,hour,dayofweek,anomaly_score,is_anomaly
2013-01-03 15:00:00,3.5699999,15,3,-1,True
2013-01-03 15:30:00,2.2909999,15,3,1,False
2013-01-03 16:00:00,1.944,16,3,1,False
2013-01-03 16:30:00,0.781,16,3,1,False
2013-01-03 17:00:00,0.682,17,3,1,False
2013-01-03 17:30:00,0.51,17,3,1,False
2013-01-03 18:00:00,1.546,18,3,1,False
2013-01-03 18:30:00,1.406,18,3,1,False
2013-01-03 19:00:00,0.779,19,3,1,False
2013-01-03 19:30:00,0.802,19,3,1,False
2013-01-03 20:00:00,2.421,20,3,1,False
2013-01-03 20:30:00,1.048,20,3,1,False
2013-01-03 21:00:00,0.769,21,3,1,False
2013-01-03 21:30:00,1.779,21,3,1,False
2013-01-03 22:00:00,0.838,22,3,1,False
2013-01-03 22:30:00,0.682,22,3,1,False
2013-01-03 23:00:00,0.646,23,3,1,False
2013-01-03 23:30:00,0.863,23,3,1,False
2013-01-04 00:00:00,0.901,0,4,1,False
2013-01-04 00:30:00,0.924,0,4,1,False
2013-01-04 01:00:00,0.415,1,4,1,False
2013-01-04 01:30:00,1.0190001,1,4,1,False
2013-01-04 02:00:00,0.231,2,4,1,False
2013-01-04 02:30:00,0.205,2,4,1,False
2013-01-04 03:00:00,0.24,3,4,1,False
2013-01-04 03:30:00,0.258,3,4,1,False
2013-01-04 04:00:00,0.224,4,4,1,False
2013-01-04 04:30:00,0.184,4,4,1,False
2013-01-04 05:00:00,0.228,5,4,1,False
2013-01-04 05:30:00,0.188,5,4,1,False
2013-01-04 06:00:00,0.307,6,4,1,False
2013-01-04 06:30:00,0.226,6,4,1,False
2013-01-04 07:00:00,0.236,7,4,1,False
2013-01-04 07:30:00,0.183,7,4,1,False
2013-01-04 08:00:00,0.186,8,4,1,False
2013-01-04 08:30:00,0.166,8,4,1,False
2013-01-04 09:00:00,0.208,9,4,1,False
2013-01-04 09:30:00,0.172,9,4,1,False
2013-01-04 10:00:00,0.155,10,4,1,False
2013-01-04 10:30:00,0.148,10,4,1,False
2013-01-04 11:00:00,0.318,11,4,1,False
2013-01-04 11:30:00,1.645,11,4,1,False
2013-01-04 12:00:00,1.702,12,4,1,False
2013-01-04 12:30:00,2.1570001,12,4,1,False
2013-01-04 13:00:00,0.273,13,4,1,False
2013-01-04 13:30:00,3.5320001,13,4,-1,True
2013-01-04 14:00:00,0.608,14,4,1,False
2013-01-04 14:30:00,1.262,14,4,1,False
2013-01-04 15:00:00,0.482,15,4,1,False
2013-01-04 15:30:00,0.373,15,4,1,False
2013-01-04 16:00:00,0.344,16,4,1,False
2013-01-04 16:30:00,0.288,16,4,1,False
2013-01-04 17:00:00,0.302,17,4,1,False
2013-01-04 17:30:00,0.269,17,4,1,False
2013-01-04 18:00:00,0.398,18,4,1,False
2013-01-04 18:30:00,0.382,18,4,1,False
2013-01-04 19:00:00,0.36,19,4,1,False
2013-01-04 19:30:00,0.273,19,4,1,False
2013-01-04 20:00:00,0.266,20,4,1,False
2013-01-04 20:30:00,0.413,20,4,1,False
2013-01-04 21:00:00,0.779,21,4,1,False
2013-01-04 21:30:00,1.182,21,4,1,False
2013-01-04 22:00:00,2.0829999,22,4,1,False
2013-01-04 22:30:00,0.795,22,4,1,False
2013-01-04 23:00:00,0.711,23,4,1,False
2013-01-04 23:30:00,0.804,23,4,1,False
2013-01-05 00:00:00,0.527,0,5,1,False
2013-01-05 00:30:00,0.509,0,5,1,False
2013-01-05 01:00:00,0.405,1,5,1,False
2013-01-05 01:30:00,0.834,1,5,1,False
2013-01-05 02:00:00,0.261,2,5,1,False
2013-01-05 02:30:00,0.521,2,5,1,False
2013-01-05 03:00:00,0.549,3,5,1,False
2013-01-05 03:30:00,0.208,3,5,1,False
2013-01-05 04:00:00,0.172,4,5,1,False
2013-01-05 04:30:00,0.143,4,5,1,False
2013-01-05 05:00:00,0.146,5,5,1,False
2013-01-05 05:30:00,0.213,5,5,1,False
2013-01-05 06:00:00,0.242,6,5,1,False
2013-01-05 06:30:00,0.172,6,5,1,False
2013-01-05 07:00:00,0.143,7,5,1,False
2013-01-05 07:30:00,0.229,7,5,1,False
2013-01-05 08:00:00,0.262,8,5,1,False
2013-01-05 08:30:00,1.932,8,5,1,False
2013-01-05 09:00:00,0.673,9,5,1,False
2013-01-05 09:30:00,0.682,9,5,1,False
2013-01-05 10:00:00,0.183,10,5,1,False
2013-01-05 10:30:00,0.161,10,5,1,False
2013-01-05 11:00:00,0.226,11,5,1,False
2013-01-05 11:30:00,0.323,11,5,1,False
2013-01-05 12:00:00,0.33,12,5,1,False
2013-01-05 12:30:00,1.433,12,5,1,False
2013-01-05 13:00:00,1.461,13,5,1,False
2013-01-05 13:30:00,3.3,13,5,-1,True
2013-01-05 14:00:00,0.442,14,5,1,False
2013-01-05 14:30:00,0.394,14,5,1,False
2013-01-05 15:00:00,1.2180001,15,5,1,False
2013-01-05 15:30:00,0.519,15,5,1,False
2013-01-05 16:00:00,0.392,16,5,1,False
2013-01-05 16:30:00,2.2219999,16,5,1,False
2013-01-05 17:00:00,1.534,17,5,1,False
2013-01-05 17:30:00,1.108,17,5,1,False
2013-01-05 18:00:00,1.262,18,5,1,False
2013-01-05 18:30:00,1.397,18,5,1,False
2013-01-05 19:00:00,1.423,19,5,1,False
2013-01-05 19:30:00,2.4389999,19,5,1,False
2013-01-05 20:00:00,1.0420001,20,5,1,False
2013-01-05 20:30:00,1.363,20,5,1,False
2013-01-05 21:00:00,2.003,21,5,1,False
2013-01-05 21:30:00,1.485,21,5,1,False
2013-01-05 22:00:00,1.217,22,5,1,False
2013-01-05 22:30:00,1.497,22,5,1,False
2013-01-05 23:00:00,1.152,23,5,1,False
2013-01-05 23:30:00,1.031,23,5,1,False
2013-01-06 00:00:00,0.873,0,6,1,False
2013-01-06 00:30:00,1.022,0,6,1,False
2013-01-06 01:00:00,0.678,1,6,1,False
2013-01-06 01:30:00,0.636,1,6,1,False
2013-01-06 02:00:00,0.557,2,6,1,False
2013-01-06 02:30:00,0.652,2,6,1,False
2013-01-06 03:00:00,0.218,3,6,1,False
2013-01-06 03:30:00,0.18,3,6,1,False
2013-01-06 04:00:00,0.166,4,6,1,False
2013-01-06 04:30:00,0.228,4,6,1,False
2013-01-06 05:00:00,0.211,5,6,1,False
2013-01-06 05:30:00,0.242,5,6,1,False
2013-01-06 06:00:00,0.225,6,6,1,False
2013-01-06 06:30:00,0.259,6,6,1,False
2013-01-06 07:00:00,0.198,7,6,1,False
2013-01-06 07:30:00,0.156,7,6,1,False
2013-01-06 08:00:00,0.144,8,6,1,False
2013-01-06 08:30:00,0.163,8,6,1,False
2013-01-06 09:00:00,0.225,9,6,1,False
2013-01-06 09:30:00,0.15,9,6,1,False
2013-01-06 10:00:00,0.14,10,6,1,False
2013-01-06 10:30:00,0.136,10,6,1,False
2013-01-06 11:00:00,1.921,11,6,1,False
2013-01-06 11:30:00,0.398,11,6,1,False
2013-01-06 12:00:00,0.46,12,6,1,False
2013-01-06 12:30:00,0.52,12,6,1,False
2013-01-06 13:00:00,1.082,13,6,1,False
2013-01-06 13:30:00,0.567,13,6,1,False
2013-01-06 14:00:00,0.927,14,6,1,False
2013-01-06 14:30:00,1.046,14,6,1,False
2013-01-06 15:00:00,3.8329999,15,6,-1,True
2013-01-06 15:30:00,3.2479999,15,6,-1,True
2013-01-06 16:00:00,3.598,16,6,-1,True
2013-01-06 16:30:00,1.175,16,6,1,False
2013-01-06 17:00:00,1.743,17,6,1,False
2013-01-06 17:30:00,2.6530001,17,6,-1,True
2013-01-06 18:00:00,1.704,18,6,1,False
2013-01-06 18:30:00,1.918,18,6,1,False
2013-01-06 19:00:00,1.993,19,6,1,False
2013-01-06 19:30:00,1.869,19,6,1,False
2013-01-06 20:00:00,1.205,20,6,1,False
2013-01-06 20:30:00,1.0779999,20,6,1,False
2013-01-06 21:00:00,1.747,21,6,1,False
2013-01-06 21:30:00,1.933,21,6,1,False
2013-01-06 22:00:00,0.609,22,6,1,False
2013-01-06 22:30:00,1.344,22,6,1,False
2013-01-06 23:00:00,0.853,23,6,1,False
2013-01-06 23:30:00,0.626,23,6,1,False
2013-01-07 00:00:00,0.368,0,0,1,False
2013-01-07 00:30:00,0.336,0,0,1,False
2013-01-07 01:00:00,0.253,1,0,1,False
2013-01-07 01:30:00,0.201,1,0,1,False
2013-01-07 02:00:00,0.209,2,0,1,False
2013-01-07 02:30:00,0.212,2,0,1,False
2013-01-07 03:00:00,0.148,3,0,1,False
2013-01-07 03:30:00,0.201,3,0,1,False
2013-01-07 04:00:00,0.19,4,0,1,False
2013-01-07 04:30:00,0.216,4,0,1,False
2013-01-07 05:00:00,0.147,5,0,1,False
2013-01-07 05:30:00,0.164,5,0,1,False
2013-01-07 06:00:00,0.212,6,0,1,False
2013-01-07 06:30:00,0.272,6,0,1,False
2013-01-07 07:00:00,0.214,7,0,1,False
2013-01-07 07:30:00,0.339,7,0,1,False
2013-01-07 08:00:00,0.704,8,0,1,False
2013-01-07 08:30:00,0.444,8,0,1,False
2013-01-07 09:00:00,0.206,9,0,1,False
2013-01-07 09:30:00,0.168,9,0,1,False
2013-01-07 10:00:00,0.163,10,0,1,False
2013-01-07 10:30:00,0.291,10,0,1,False
2013-01-07 11:00:00,0.26,11,0,1,False
2013-01-07 11:30:00,0.162,11,0,1,False
2013-01-07 12:00:00,0.183,12,0,1,False
2013-01-07 12:30:00,0.199,12,0,1,False
2013-01-07 13:00:00,1.253,13,0,1,False
2013-01-07 13:30:00,0.701,13,0,1,False
2013-01-07 14:00:00,2.487,14,0,1,False
2013-01-07 14:30:00,2.1989999,14,0,1,False
2013-01-07 15:00:00,1.234,15,0,1,False
2013-01-07 15:30:00,0.959,15,0,1,False
2013-01-07 16:00:00,0.751,16,0,1,False
2013-01-07 16:30:00,0.653,16,0,1,False
2013-01-07 17:00:00,4.7090001,17,0,-1,True
2013-01-07 17:30:00,2.323,17,0,1,False
2013-01-07 18:00:00,0.814,18,0,1,False
2013-01-07 18:30:00,0.946,18,0,1,False
2013-01-07 19:00:00,1.069,19,0,1,False
2013-01-07 19:30:00,1.025,19,0,1,False
2013-01-07 20:00:00,1.455,20,0,1,False
2013-01-07 20:30:00,2.8699999,20,0,-1,True
2013-01-07 21:00:00,1.54,21,0,1,False
2013-01-07 21:30:00,3.95,21,0,-1,True
2013-01-07 22:00:00,1.39,22,0,1,False
2013-01-07 22:30:00,2.066,22,0,1,False
2013-01-07 23:00:00,0.96,23,0,1,False
2013-01-07 23:30:00,0.73,23,0,1,False
2013-01-08 00:00:00,0.989,0,1,1,False
2013-01-08 00:30:00,0.273,0,1,1,False
2013-01-08 01:00:00,0.291,1,1,1,False
2013-01-08 01:30:00,0.247,1,1,1,False
2013-01-08 02:00:00,0.213,2,1,1,False
2013-01-08 02:30:00,0.205,2,1,1,False
2013-01-08 03:00:00,0.251,3,1,1,False
2013-01-08 03:30:00,0.227,3,1,1,False
2013-01-08 04:00:00,0.213,4,1,1,False
2013-01-08 04:30:00,0.215,4,1,1,False
2013-01-08 05:00:00,0.406,5,1,1,False
2013-01-08 05:30:00,0.273,5,1,1,False
2013-01-08 06:00:00,0.263,6,1,1,False
2013-01-08 06:30:00,0.262,6,1,1,False
2013-01-08 07:00:00,0.727,7,1,1,False
2013-01-08 07:30:00,1.108,7,1,1,False
2013-01-08 08:00:00,0.435,8,1,1,False
2013-01-08 08:30:00,0.351,8,1,1,False
2013-01-08 09:00:00,0.257,9,1,1,False
2013-01-08 09:30:00,0.248,9,1,1,False
2013-01-08 10:00:00,0.225,10,1,1,False
2013-01-08 10:30:00,0.604,10,1,1,False
2013-01-08 11:00:00,0.396,11,1,1,False
2013-01-08 11:30:00,0.239,11,1,1,False
2013-01-08 12:00:00,0.193,12,1,1,False
2013-01-08 12:30:00,0.433,12,1,1,False
2013-01-08 13:00:00,1.543,13,1,1,False
2013-01-08 13:30:00,0.366,13,1,1,False
2013-01-08 14:00:00,0.964,14,1,1,False
2013-01-08 14:30:00,0.992,14,1,1,False
2013-01-08 15:00:00,1.434,15,1,1,False
2013-01-08 15:30:00,1.391,15,1,1,False
2013-01-08 16:00:00,1.163,16,1,1,False
2013-01-08 16:30:00,2.4760001,16,1,1,False
2013-01-08 17:00:00,2.2720001,17,1,1,False
2013-01-08 17:30:00,1.1289999,17,1,1,False
2013-01-08 18:00:00,1.124,18,1,1,False
2013-01-08 18:30:00,1.535,18,1,1,False
2013-01-08 19:00:00,1.3660001,19,1,1,False
2013-01-08 19:30:00,1.385,19,1,1,False
2013-01-08 20:00:00,0.979,20,1,1,False
2013-01-08 20:30:00,2.9130001,20,1,-1,True
2013-01-08 21:00:00,0.782,21,1,1,False
2013-01-08 21:30:00,0.654,21,1,1,False
2013-01-08 22:00:00,1.0599999,22,1,1,False
2013-01-08 22:30:00,2.332,22,1,1,False
2013-01-08 23:00:00,0.504,23,1,1,False
2013-01-08 23:30:00,0.931,23,1,1,False
2013-01-09 00:00:00,0.297,0,2,1,False
2013-01-09 00:30:00,0.183,0,2,1,False
2013-01-09 01:00:00,0.155,1,2,1,False
2013-01-09 01:30:00,0.184,1,2,1,False
2013-01-09 02:00:00,0.198,2,2,1,False
2013-01-09 02:30:00,0.172,2,2,1,False
2013-01-09 03:00:00,0.171,3,2,1,False
2013-01-09 03:30:00,0.223,3,2,1,False
2013-01-09 04:00:00,0.186,4,2,1,False
2013-01-09 04:30:00,0.146,4,2,1,False
2013-01-09 05:00:00,0.148,5,2,1,False
2013-01-09 05:30:00,1.659,5,2,1,False
2013-01-09 06:00:00,0.837,6,2,1,False
2013-01-09 06:30:00,0.744,6,2,1,False
2013-01-09 07:00:00,0.533,7,2,1,False
2013-01-09 07:30:00,0.584,7,2,1,False
2013-01-09 08:00:00,0.579,8,2,1,False
2013-01-09 08:30:00,0.353,8,2,1,False
2013-01-09 09:00:00,0.275,9,2,1,False
2013-01-09 09:30:00,0.217,9,2,1,False
2013-01-09 10:00:00,0.202,10,2,1,False
2013-01-09 10:30:00,0.185,10,2,1,False
2013-01-09 11:00:00,0.243,11,2,1,False
2013-01-09 11:30:00,0.201,11,2,1,False
2013-01-09 12:00:00,0.21,12,2,1,False
2013-01-09 12:30:00,0.24,12,2,1,False
2013-01-09 13:00:00,0.254,13,2,1,False
2013-01-09 13:30:00,0.337,13,2,1,False
2013-01-09 14:00:00,0.223,14,2,1,False
2013-01-09 14:30:00,0.18,14,2,1,False
2013-01-09 15:00:00,1.176,15,2,1,False
2013-01-09 15:30:00,0.319,15,2,1,False
2013-01-09 16:00:00,1.531,16,2,1,False
2013-01-09 16:30:00,4.0339999,16,2,-1,True
2013-01-09 17:00:00,1.233,17,2,1,False
2013-01-09 17:30:00,1.08,17,2,1,False
